"stockid","stocklong","assessid","assessor_id","assess_method","country","region","area","family","species","comm_name"
"CSALMWILLB","Chum salmon Willapa Bay","WDFW-CSALMWILLB-1968-2000-HIVELY","WDFW","Unknown","USA","US West Coast (Pacific Salmon)","Willapa Bay","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMWKAMCH","Chum salmon West Kamchatka chum hatchery","TINRO-CSALMWKAMCH-1974-2004-HIVELY","TINRO","Unknown","Russia","Russia Japan (Pacific Salmon)","West Kamchatka chum hatchery","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMWKAMCW","Chum salmon West Kamchatka chum wild","TINRO-CSALMWKAMCW-1952-2004-HIVELY","TINRO","Unknown","Russia","Russia Japan (Pacific Salmon)","West Kamchatka chum wild","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMYUKONRFR","Chum salmon Yukon River Fall Run","ADFG-CSALMYUKONRFR-1961-2003-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Yukon River Fall Run","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSALMYUKONRSR","Chum salmon Yukon River Summer Run","ADFG-CSALMYUKONRSR-1961-2003-HIVELY","ADFG","Unknown","USA","US Alaska (Pacific Salmon)","Yukon River Summer Run","Salmonidae","Oncorhynchus keta","Chum salmon"
"CSARDCSCH","Chilean sardine Central-Southern Chile","IFOPCH-CSARDCSCH-1991-2020-Quiroz","IFOPCH","AD-CAM","Chile","South America","Central-Southern Chile","Clupeidae","Strangomera bentincki","Chilean sardine"
"CSHRIMPCWA","Coastal shrimp Central West Africa","FAO-DR-CSHRIMPCWA-1990-2007-CHING","FAO-DR","DPM","multinational","West Africa","Central West Africa","Penaeidae","Penaeus spp","Coastal shrimp"
"CSKATMATLC","Clearnose skate Mid-Atlantic Coast","NEFSC-CSKATMATLC-1968-2019-SISIMP2021-2","NEFSC","Unknown","USA","US East Coast","Mid-Atlantic Coast","Rajidae","Raja eglanteria","Clearnose skate"
"CSLOBSTERPR","Caribbean spiny lobster Puerto Rico","SEFSC-CSLOBSTERPR-1983-2017-SISIMP2021-2","SEFSC","Unknown","USA","US Southeast and Gulf","Puerto Rico","Palinuridae","Panulirus argus","Caribbean spiny lobster"
"CSLOBSTERSTC","Caribbean spiny lobster Saint Croix","SEFSC-CSLOBSTERSTC-1976-2017-SISIMP2021-2","SEFSC","Unknown","USA","US Southeast and Gulf","Saint Croix","Palinuridae","Panulirus argus","Caribbean spiny lobster"
"CSLOBSTERSTT_STJ","Caribbean spiny lobster Saint Thomas / Saint John","SEFSC-CSLOBSTERSTT_STJ-1975-2017-SISIMP2021-2","SEFSC","Unknown","USA","US Southeast and Gulf","Saint Thomas / Saint John","Palinuridae","Panulirus argus","Caribbean spiny lobster"
"CTRACSA","Cape horse mackerel South Africa South coast","MARAM-CTRACSA-1949-2020-Johnston","MARAM","IA","South Africa","Southern Africa","South Africa South coast","Carangidae","Trachurus capensis","Cape horse mackerel"
"CUSK4X","Cusk Western Scotian Shelf","DFO-MAR-CUSK4X-1970-2007-RICARD","DFO-MAR","BSPM","Canada","Canada East Coast","Western Scotian Shelf","Lotidae","Brosme brosme","Cusk"
"CUSKI-II","Tusk North-East Arctic","WGDEEP-CUSKI-II-1988-2020-ICESIMP2021-2","WGDEEP","Unknown","multinational","Europe non EU","North-East Arctic","Lotidae","Brosme brosme","Tusk"
"CUSKNEATL","Tusk Northeast Atlantic","WGDEEP-CUSKNEATL-1988-2020-ICESIMP2021-2","WGDEEP","Unknown","multinational","European Union","Northeast Atlantic","Lotidae","Brosme brosme","Tusk"
"CUSKVa-XIV","Tusk ICES 5a-14","WGDEEP-CUSKVa-XIV-1982-2021-ICESIMP2021-2","WGDEEP","Unknown","multinational","European Union","ICES 5a-14","Lotidae","Brosme brosme","Tusk"
"CUSKVIb","Tusk Rockall Bank","WGDEEP-CUSKVIb-1988-2019-ICESIMP2021-2","WGDEEP","Unknown","multinational","European Union","Rockall Bank","Lotidae","Brosme brosme","Tusk"
"CUSKXII","Tusk North of Azores","WGDEEP-CUSKXII-1988-2018-ICESIMP2021","WGDEEP","Unknown","multinational","European Union","North of Azores","Lotidae","Brosme brosme","Tusk"
"CUTTLECWAGHA","Cuttlefish Central West Africa Ghana","FAO-DR-CUTTLECWAGHA-1990-2007-CHING","FAO-DR","DPM","multinational","West Africa","Central West Africa Ghana","Sepiidae","Sepia spp","Cuttlefish"
"CUTTLENWACBL","Cuttlefish North West Africa Cape Blanc","FAO-DR-CUTTLENWACBL-1990-2016-ASHBROOK","FAO-DR","LPM","multinational","West Africa","North West Africa Cape Blanc","Sepiidae","Sepia spp","Cuttlefish"
"CUTTLENWADAK","Cuttlefish North West Africa Dakhla","FAO-DR-CUTTLENWADAK-1990-2016-ASHBROOK","FAO-DR","LPM","multinational","West Africa","North West Africa Dakhla","Sepiidae","Sepia spp","Cuttlefish"
"CUTTLENWASEN_GMB","Cuttlefish North West Africa Senegal_The Gambia","FAO-DR-CUTTLENWASEN_GMB-1990-2016-ASHBROOK","FAO-DR","LPM","multinational","West Africa","North West Africa Senegal_The Gambia","Sepiidae","Sepia spp","Cuttlefish"
"DAB2232","Dab Baltic Areas 22-32","WGBFAS-DAB2232-1970-2019-ICESIMP2021-2","WGBFAS","Unknown","multinational","European Union","Baltic Areas 22-32","Pleuronectidae","Limanda limanda","Dab"
"DABIIIa-IV","Dab ICES 3a-4","WGNSSK-DABIIIa-IV-1965-2018-ICESIMP2021","WGNSSK","Unknown","multinational","European Union","ICES 3a-4","Pleuronectidae","Limanda limanda","Dab"
"DEEPCHAKESA","Deep water cape hake South Africa","MARAM-DEEPCHAKESA-1900-2021-ROSSGILLESPIE","MARAM","IA","South Africa","Southern Africa","South Africa","Merlucciidae","Merluccius paradoxus","Deep water cape hake"
"DEEPFLATHEADSE","Deepwater flathead Southeast Australia","CSIRO-DEEPFLATHEADSE-1980-2015-MOESENEDER","CSIRO","SS3","Australia","Australia","Southeast Australia","Platycephalidae","Platycephalus conatus","Deepwater flathead"
"DKROCKPCOAST","Darkblotched rockfish Pacific Coast","NWFSC-DKROCKPCOAST-1915-2021-SISIMP2021-2","NWFSC","Unknown","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes crameri","Darkblotched rockfish"
"DOYSFS","Dredge oyster Foveax Strait","NIWA-DOYSFS-1906-2012-FU","NIWA","CASAL","New Zealand","New Zealand","Foveax Strait","Ostreidae","Ostrea chilensis","Dredge oyster"
"DRSHRIMPCWA","Deep water rose shrimp Central West Africa","FAO-DR-DRSHRIMPCWA-1990-2007-CHING","FAO-DR","DPM","multinational","West Africa","Central West Africa","Penaeidae","Parapenaeus longirostris","Deep water rose shrimp"
"DSKSHARGMATL","Dusky shark Gulf of Mexico and Atlantic","SEFSC-DSKSHARGMATL-1960-2009-SISIMP2016","SEFSC","Unknown","USA","US Southeast and Gulf","Gulf of Mexico and Atlantic","Carcharhinidae","Carcharhinus obscurus","Dusky shark"
"DSOLEGA","Dover sole Gulf of Alaska","AFSC-DSOLEGA-1978-2019-SISIMP2021-2","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Microstomus pacificus","Dover sole"
"DSOLEPCOAST","Dover sole Pacific Coast","SWFSC-DSOLEPCOAST-1911-2020-SISIMP2021-2","SWFSC","Unknown","USA","US West Coast","Pacific Coast","Pleuronectidae","Microstomus pacificus","Dover sole"
"DSSMELTPAC","Deep sea smelt Pacific Ocean","FAFRFJ-DSSMELTPAC-1980-2018-KUROTA","FAFRFJ","Unknown","Japan","Japan","Pacific Ocean","Argentinidae","Glossanodon semifasciatus","Deep sea smelt"
"DSSMELTSOJ","Deep sea smelt Sea of Japan","FAFRFJ-DSSMELTSOJ-1975-2018-KUROTA","FAFRFJ","Unknown","Japan","Japan","Sea of Japan","Argentinidae","Glossanodon semifasciatus","Deep sea smelt"
"DUSROCKGA","Dusky rockfish Gulf of Alaska","AFSC-DUSROCKGA-1973-2020-SISIMP2022","AFSC","SCA","USA","US Alaska","Gulf of Alaska","Sebastidae","Sebastes variabilis","Dusky rockfish"
"DVANGSASC","Devil anglerfish South Africa South coast","DEFF-DVANGSASC-1991-2019-GLAZER","DEFF","RYM","South Africa","Southern Africa","South Africa South coast","Lophiidae","Lophius vomerinus","Devil anglerfish"
"DVANGSAWC","Devil anglerfish South Africa West coast","DEFF-DVANGSAWC-1991-2019-GLAZER","DEFF","RYM","South Africa","Southern Africa","South Africa West coast","Lophiidae","Lophius vomerinus","Devil anglerfish"
"EBASSGSA7","European seabass Gulf of Lions","STECF-EBASSGSA7-2002-2015-OSIO","STECF","VIT","multinational","Mediterranean-Black Sea","Gulf of Lions","Moronidae","Dicentrarchus labrax","European seabass"
"EBASSIVbc-VII","European seabass ICES 4bc-7","WGCSE-EBASSIVbc-VII-1985-2021-ICESIMP2021-2","WGCSE","Unknown","multinational","European Union","ICES 4bc-7","Moronidae","Dicentrarchus labrax","European seabass"
"EBASSVIa-VIIb-j","European seabass ICES 6a-7b-j","WGCSE-EBASSVIa-VIIb-j-2000-2019-ICESIMP2021-2","WGCSE","Unknown","multinational","European Union","ICES 6a-7b-j","Moronidae","Dicentrarchus labrax","European seabass"
"EBASSVIIIab","European seabass ICES 8ab","WGBIE-EBASSVIIIab-1985-2021-ICESIMP2021-2","WGBIE","Unknown","multinational","European Union","ICES 8ab","Moronidae","Dicentrarchus labrax","European seabass"
"EBASSVIIIc-IXa","European seabass ICES 8c-9a","WGBIE-EBASSVIIIc-IXa-1978-2020-ICESIMP2021-2","WGBIE","Unknown","multinational","European Union","ICES 8c-9a","Moronidae","Dicentrarchus labrax","European seabass"
"ECSOLESASC","East coast sole South Africa South coast","FBDAFF-ECSOLESASC-1920-2020-GLAZER","FBDAFF","AAPM","South Africa","Southern Africa","South Africa South coast","Soleidae","Austroglossus pectoralis","East coast sole"
"EFLOUN2223","European flounder Subdivisions 22-23","WGBFAS-EFLOUN2223-1973-2018-ICESIMP2021","WGBFAS","Unknown","multinational","European Union","Subdivisions 22-23","Pleuronectidae","Platichthys flesus","European flounder"
"EFLOUN2425","European flounder Subdivisions 24-25","WGBFAS-EFLOUN2425-1973-2018-ICESIMP2021-2","WGBFAS","Unknown","multinational","European Union","Subdivisions 24-25","Pleuronectidae","Platichthys flesus","European flounder"
"EFLOUN26-28","European flounder Subdivisions 26-28","WGBFAS-EFLOUN26-28-1996-2016-ICESIMP2018","WGBFAS","Unknown","multinational","European Union","Subdivisions 26-28","Pleuronectidae","Platichthys flesus","European flounder"
"EFLOUN27-2932","European flounder Subdivisions 27 and 29-32","WGBFAS-EFLOUN27-2932-1980-2016-ICESIMP2018","WGBFAS","Unknown","multinational","European Union","Subdivisions 27 and 29-32","Pleuronectidae","Platichthys flesus","European flounder"
"EFLOUNIIIa-IV","European flounder ICES 3a-4","WGNSSK-EFLOUNIIIa-IV-1950-2021-ICESIMP2021-2","WGNSSK","Unknown","multinational","European Union","ICES 3a-4","Pleuronectidae","Platichthys flesus","European flounder"
"EPOLLIV-IIIa","European pollack ICES 3a-4","WGNSSK-EPOLLIV-IIIa-1977-2020-ICESIMP2021-2","WGNSSK","Unknown","multinational","European Union","ICES 3a-4","Gadidae","Pollachius pollachius","European pollack"
"EPOLLVIII-IXa","European pollack ICES 8-9a","WGBIE-EPOLLVIII-IXa-1979-2020-ICESIMP2021-2","WGBIE","Unknown","multinational","European Union","ICES 8-9a","Gadidae","Pollachius pollachius","European pollack"
"ESOLEHS","English sole Hecate Strait","DFO-PAC-ESOLEHS-1944-2001-COLLIE","DFO-PAC","TSA","Canada","Canada West Coast","Hecate Strait","Pleuronectidae","Parophrys vetulus","English sole"
"ESOLEPCOAST","English sole Pacific Coast","NWFSC-ESOLEPCOAST-1876-2012-SISIMP2016","NWFSC","SS3","USA","US West Coast","Pacific Coast","Pleuronectidae","Parophrys vetulus","English sole"
"ESQUIDNWACBL","European squid North West Africa Cape Blanc","FAO-DR-ESQUIDNWACBL-1990-2016-ASHBROOK","FAO-DR","LPM","multinational","West Africa","North West Africa Cape Blanc","Loliginidae","Loligo vulgaris","European squid"
"ESQUIDNWADAK","European squid North West Africa Dakhla","FAO-DR-ESQUIDNWADAK-1990-2016-ASHBROOK","FAO-DR","LPM","multinational","West Africa","North West Africa Dakhla","Loliginidae","Loligo vulgaris","European squid"
"ESQUIDNWASEN_GMB","European squid North West Africa Senegal_The Gambia","FAO-DR-ESQUIDNWASEN_GMB-1990-2016-ASHBROOK","FAO-DR","LPM","multinational","West Africa","North West Africa Senegal_The Gambia","Loliginidae","Loligo vulgaris","European squid"
"EULAPCOASTCCDU","Eulachon Pacific Coast of Canada Central Coast Designatable Unit","DFO-EULAPCOASTCCDU-1951-2012-WATSON","DFO","BSREDM","Canada","Canada West Coast","Pacific Coast of Canada Central Coast Designatable Unit","Osmeridae","Thaleichthys pacificus","Eulachon"
"EULAPCOASTFRDU","Eulachon Pacific Coast of Canada Fraser River Designatable Unit","DFO-EULAPCOASTFRDU-1900-2012-WATSON","DFO","BSREDM","Canada","Canada West Coast","Pacific Coast of Canada Fraser River Designatable Unit","Osmeridae","Thaleichthys pacificus","Eulachon"
"EULAPCOASTNSDU","Eulachon Pacific Coast of Canada Nass / Skeena Designatable Unit","DFO-EULAPCOASTNSDU-1951-2012-WATSON","DFO","BSREDM","Canada","Canada West Coast","Pacific Coast of Canada Nass / Skeena Designatable Unit","Osmeridae","Thaleichthys pacificus","Eulachon"
"FHFLOUNSOJ","Flathead flounder Sea of Japan","FAFRFJ-FHFLOUNSOJ-1991-2013-JPNIMP2016","FAFRFJ","Unknown","Japan","Japan","Sea of Japan","Pleuronectidae","Hippoglossoides dubius","Flathead flounder"
"FLSOLEBSAI","Flathead sole Bering Sea and Aleutian Islands","AFSC-FLSOLEBSAI-1964-2020-SISIMP2022","AFSC","SS3","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Hippoglossoides elassodon","Flathead sole"
"FLSOLEGA","Flathead sole Gulf of Alaska","AFSC-FLSOLEGA-1978-2019-SISIMP2021-2","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Pleuronectidae","Hippoglossoides elassodon","Flathead sole"
"FMEG8c9a","Fourspotted megrim ICES 8c-9a","WGBIE-FMEG8c9a-1986-2021-ICESIMP2021-2","WGBIE","Unknown","multinational","European Union","ICES 8c-9a","Scophthalmidae","Lepidorhombus boscii","Fourspotted megrim"
"FMEGVIIb-k_VIIIabd","Fourspotted megrim ICES 7b-k_8abd","WGBIE-FMEGVIIb-k_VIIIabd-2017-2020-ICESIMP2021-2","WGBIE","Unknown","multinational","European Union","ICES 7b-k_8abd","Scophthalmidae","Lepidorhombus boscii","Fourspotted megrim"
"FSCADNWA","False scad North West Africa","FAO-SPNWA-FSCADNWA-1990-2020-HIVELY","FAO-SPNWA","Unknown","multinational","West Africa","North West Africa","Carangidae","Caranx rhonchus","False scad"
"FSNAPOKWI","Flame snapper Okinawa Islands","FAFRFJ-FSNAPOKWI-1989-2013-JPNIMP2016","FAFRFJ","Unknown","Japan","Japan","Okinawa Islands","Lutjanidae","Etelis coruscans","Flame snapper"
"FTOOTHSHARATL","Finetooth shark Atlantic","SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET","SEFSC","BBM","USA","US Southeast and Gulf","Atlantic","Carcharhinidae","Carcharhinus isodon","Finetooth shark"
"GAGGM","Gag Gulf of Mexico","SEFSC-GAGGM-1963-2019-SISIMP2022","SEFSC","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Serranidae","Mycteroperca microlepis","Gag"
"GAGSATLC","Gag Southern Atlantic coast","SEFSC-GAGSATLC-1962-2019-SISIMP2021-2","SEFSC","Unknown","USA","US Southeast and Gulf","Southern Atlantic coast","Serranidae","Mycteroperca microlepis","Gag"
"GEMFISHNZ","Common gemfish New Zealand","NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN","NZMFishMIDDEPTHSWG","CASAL","New Zealand","New Zealand","New Zealand","Gempylidae","Rexea solandri","Common gemfish"
"GEMFISHSE","Common gemfish Southeast Australia","CSIRO-GEMFISHSE-1966-2007-FULTON","CSIRO","SS2","Australia","Australia","Southeast Australia","Gempylidae","Rexea solandri","Common gemfish"
"GFORKBMEDGSA9","Greater forkbeard Ligurian and North Tyrrhenian Sea","STECF-GFORKBMEDGSA9-2007-2011-OSIO","STECF","SURBA","multinational","Mediterranean-Black Sea","Ligurian and North Tyrrhenian Sea","Phycidae","Phycis blennoides","Greater forkbeard"
"GFORKNEATL","Greater forkbeard Northeast Atlantic","WGDEEP-GFORKNEATL-2005-2019-ICESIMP2021-2","WGDEEP","Unknown","multinational","European Union","Northeast Atlantic","Phycidae","Phycis blennoides","Greater forkbeard"
"GGRUNTCWAGAB-AGO","Grey grunt Central West Africa Gabon-Angola","FAO-DR-GGRUNTCWAGAB-AGO-1995-2007-CHING","FAO-DR","DPM","multinational","West Africa","Central West Africa Gabon-Angola","Haemulidae","Pomadasys spp","Grey grunt"
"GGRUNTCWAGIN-LBR","Grey grunt Central West Africa Guinea-Liberia","FAO-DR-GGRUNTCWAGIN-LBR-1994-2007-CHING","FAO-DR","DPM","multinational","West Africa","Central West Africa Guinea-Liberia","Haemulidae","Pomadasys spp","Grey grunt"
"GGURNIIIa-IV-VIId","Grey gurnard ICES 3a-4-7d","WGNSSK-GGURNIIIa-IV-VIId-1983-2020-ICESIMP2021-2","WGNSSK","Unknown","multinational","European Union","ICES 3a-4-7d","Triglidae","Eutrigla gurnardus","Grey gurnard"
"GHAL01ABCDEF","Greenland halibut NAFO divisions 01ABCDEF","NAFO-SC-GHAL01ABCDEF-1987-2006-PREFONTAINE","NAFO-SC","Survey indices","multinational","Canada East Coast","NAFO divisions 01ABCDEF","Pleuronectidae","Reinhardtius hippoglossoides","Greenland halibut"
"GHAL23KLMNO","Greenland halibut Labrador Shelf - Grand Banks","NAFO-SC-GHAL23KLMNO-1960-2010-WATSON","NAFO-SC","Unknown","multinational","Canada East Coast","Labrador Shelf - Grand Banks","Pleuronectidae","Reinhardtius hippoglossoides","Greenland halibut"
"GHAL4RST","Greenland halibut Gulf of St. Lawrence","DFO-QUE-GHAL4RST-1970-2022-HIVELY","DFO-QUE","SURBA","Canada","Canada East Coast","Gulf of St. Lawrence","Pleuronectidae","Reinhardtius hippoglossoides","Greenland halibut"
"GHALBSAI","Greenland halibut Bering Sea and Aleutian Islands","AFSC-GHALBSAI-1960-2020-SISIMP2022","AFSC","SS3","USA","US Alaska","Bering Sea and Aleutian Islands","Pleuronectidae","Reinhardtius hippoglossoides","Greenland halibut"
"GHALNEAR","Greenland halibut North-East Arctic","AFWG-GHALNEAR-1935-2020-ICESIMP2021-2","AFWG","Unknown","multinational","Europe non EU","North-East Arctic","Pleuronectidae","Reinhardtius hippoglossoides","Greenland halibut"
"GHALV-VI-XII-XIV","Greenland halibut ICES 5-6-12-14","NWWG-GHALV-VI-XII-XIV-1960-2021-ICESIMP2021-2","NWWG","Unknown","multinational","European Union","ICES 5-6-12-14","Pleuronectidae","Reinhardtius hippoglossoides","Greenland halibut"
"GHBRMGSA7","Gilthead seabream Gulf of Lions","STECF-GHBRMGSA7-2013-2015-OSIO","STECF","VIT","multinational","Mediterranean-Black Sea","Gulf of Lions","Sparidae","Sparus aurata","Gilthead seabream"
"GJOBMHI","Green jobfish Main Hawaiian Islands","PIFSC-GJOBMHI-1948-2018-SISIMP2021-2","PIFSC","Unknown","USA","US Hawaii","Main Hawaiian Islands","Lutjanidae","Aprion virescens","Green jobfish"
"GKCRABAIES","Golden king crab Aleutian Islands Eastern segment","AFSC-GKCRABAIES-1985-2017-SISIMP2021","AFSC","Unknown","USA","US Alaska","Aleutian Islands Eastern segment","Lithodidae","Lithodes aequispinus","Golden king crab"
"GKCRABAIWS","Golden king crab Aleutian Islands Western segment","AFSC-GKCRABAIWS-1985-2017-SISIMP2021","AFSC","Unknown","USA","US Alaska","Aleutian Islands Western segment","Lithodidae","Lithodes aequispinus","Golden king crab"
"GKCRABPI","Golden king crab Pribilof Islands","AFSC-GKCRABPI-1982-2016-SISIMP2021","AFSC","Unknown","USA","US Alaska","Pribilof Islands","Lithodidae","Lithodes aequispinus","Golden king crab"
"GLGROUPSATLCGM","Goliath grouper Southern Atlantic coast and Gulf of Mexico","SEFSC-GLGROUPSATLCGM-1950-2009-SISIMP2016","SEFSC","Unknown","USA","US Southeast and Gulf","Southern Atlantic coast and Gulf of Mexico","Serranidae","Epinephelus itajara","Goliath grouper"
"GOLDREDNEAR","Golden redfish North-East Arctic","AFWG-GOLDREDNEAR-1986-2019-ICESIMP2021-2","AFWG","Unknown","multinational","Europe non EU","North-East Arctic","Sebastidae","Sebastes norvegicus","Golden redfish"
"GOLDREDV-VI-XII-XIV","Golden redfish ICES 5-6-12-14","NWWG-GOLDREDV-VI-XII-XIV-1971-2021-ICESIMP2021-2","NWWG","Unknown","multinational","European Union","ICES 5-6-12-14","Sebastidae","Sebastes norvegicus","Golden redfish"
"GOPHERSPCOAST","Gopher rockfish Southern Pacific Coast","SWFSC-GOPHERSPCOAST-1965-2005-STANTON","SWFSC","SS2","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes carnatus","Gopher rockfish"
"GPOCTOBSAI","Giant Pacific octopus Bering Sea and Aleutian Islands","AFSC-GPOCTOBSAI-1997-2019-SISIMP2021-2","AFSC","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","Enteroctopodidae","Enteroctopus dofleini","Giant pacific octopus"
"GPOCTOGA","Giant Pacific octopus Gulf of Alaska","AFSC-GPOCTOGA-1997-2016-SISIMP2021","AFSC","Unknown","USA","US Alaska","Gulf of Alaska","Enteroctopodidae","Enteroctopus dofleini","Giant pacific octopus"
"GRAMBERGM","Greater amberjack Gulf of Mexico","SEFSC-GRAMBERGM-1950-2018-SISIMP2022","SEFSC","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Carangidae","Seriola dumerili","Greater amberjack"
"GRAMBERSATLC","Greater amberjack Southern Atlantic coast","SEFSC-GRAMBERSATLC-1980-2017-SISIMP2021-2","SEFSC","Unknown","USA","US Southeast and Gulf","Southern Atlantic coast","Carangidae","Seriola dumerili","Greater amberjack"
"GRNSTROCKPCOAST","Greenstriped rockfish Pacific Coast","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON","PFMC","SS3","USA","US West Coast","Pacific Coast","Sebastidae","Sebastes elongatus","Greenstriped rockfish"
"GRSHRIMPMEDGSA12-16","Giant red shrimp Geographical Sub-Areas 12-16","STECF-GRSHRIMPMEDGSA12-16-2005-2011-OSIO","STECF","XSA","multinational","Mediterranean-Black Sea","Geographical Sub-Areas 12-16","Aristeidae","Aristaeomorpha foliacea","Giant red shrimp"
"GRSHRIMPMEDGSA18-19","Giant red shrimp South Adriatic Sea and West Ionian Sea (GSA 18,19)","STECF-GRSHRIMPMEDGSA18-19-2008-2014-OSIO","STECF","XSA","multinational","Mediterranean-Black Sea","South Adriatic Sea and West Ionian Sea (GSA 18,19)","Aristeidae","Aristaeomorpha foliacea","Giant red shrimp"
"GRSHRIMPMEDGSA9-11","Giant red shrimp Geographical Sub-Areas 9-11","STECF-GRSHRIMPMEDGSA9-11-2005-2019-MEDIMP2021-2","STECF","a4a","multinational","Mediterranean-Black Sea","Geographical Sub-Areas 9-11","Aristeidae","Aristaeomorpha foliacea","Giant red shrimp"
"GRSNAPGM","Gray snapper Gulf of Mexico","SEFSC-GRSNAPGM-1945-2015-SISIMP2021","SEFSC","Unknown","USA","US Southeast and Gulf","Gulf of Mexico","Lutjanidae","Lutjanus griseus","Gray snapper"
"GRSPROCKNCAL","Greenspotted rockfish Northern Pacific Coast","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA","SWFSC","SS3","USA","US West Coast","Northern Pacific Coast","Sebastidae","Sebastes chlorostictus","Greenspotted rockfish"
"GRSPROCKSCAL","Greenspotted rockfish Southern Pacific Coast","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA","SWFSC","SS3","USA","US West Coast","Southern Pacific Coast","Sebastidae","Sebastes chlorostictus","Greenspotted rockfish"
"GSSMELTI-II-IIIa-IV","Greater silver smelt ICES 1-2-3a-4","WGDEEP-GSSMELTI-II-IIIa-IV-1988-2020-ICESIMP2021-2","WGDEEP","Unknown","multinational","European Union","ICES 1-2-3a-4","Argentinidae","Argentina silus","Greater silver smelt"
"GSSMELTVa-XIV","Greater silver smelt ICES 5a-14","WGDEEP-GSSMELTVa-XIV-2000-2021-ICESIMP2021-2","WGDEEP","Unknown","multinational","Europe non EU","ICES 5a-14","Argentinidae","Argentina silus","Greater silver smelt"
"GSSMELTVb-VIa","Greater silver smelt ICES 5b-6a","WGDEEP-GSSMELTVb-VIa-1988-2021-ICESIMP2021-2","WGDEEP","Unknown","multinational","Europe non EU","ICES 5b-6a","Argentinidae","Argentina silus","Greater silver smelt"
"GSSMELTVIb-VII-VIII-IX-X-XII","Greater silver smelt ICES 6b-7-8-9-10-12","WGDEEP-GSSMELTVIb-VII-VIII-IX-X-XII-1966-2020-ICESIMP2021-2","WGDEEP","Unknown","multinational","European Union","ICES 6b-7-8-9-10-12","Argentinidae","Argentina silus","Greater silver smelt"
"GSTRGZRSTA7","Giant stargazer NZ Area STA7","NIWA-GSTRGZRSTA7-1964-2007-CORDUE","NIWA","CASAL","New Zealand","New Zealand","NZ Area STA7","Uranoscopidae","Kathetostoma giganteum","Giant stargazer"
"GTPRAWNNAUST","Grooved tiger prawn Northern Australia","CSIRO-GTPRAWNNAUST-1969-2015-MOESENEDER","CSIRO","SS3","Australia","Australia","Northern Australia","Penaeidae","Penaeus semisulcatus","Grooved tiger prawn"
"GTREVMHI","Giant trevally Main Hawaiian Islands","PIFSC-GTREVMHI-2004-2015-SISIMP2021","PIFSC","Unknown","USA","US Hawaii","Main Hawaiian Islands","Carangidae","Caranx ignobilis","Giant trevally"
"GTRIGGM","Gray triggerfish Gulf of Mexico","SEFSC-GTRIGGM-1945-2013-SISIMP2016","SEFSC","SS3","USA","US Southeast and Gulf","Gulf of Mexico","Balistidae","Balistes capriscus","Gray triggerfish"
"GURCH4RST","Green sea urchin Gulf of St. Lawrence","DFO-QUE-GURCH4RST-1991-2015-ASHBROOK","DFO-QUE","Count","Canada","Canada East Coast","Gulf of St. Lawrence","Strongylocentrotidae","Strongylocentrotus droebachiensis","Green sea urchin"
"HAD3LNO","Haddock Grand Banks","NAFO-SC-HAD3LNO-1953-2017-ASHBROOK","NAFO-SC","Survey indices","multinational","Canada East Coast","Grand Banks","Gadidae","Melanogrammus aeglefinus","Haddock"
"HAD3Ps","Haddock St. Pierre Bank","DFO-NFLD-HAD3Ps-1953-2018-ASHBROOK","DFO-NFLD","RV","Canada","Canada East Coast","St. Pierre Bank","Gadidae","Melanogrammus aeglefinus","Haddock"
"HAD4X5Y","Haddock Western Scotian Shelf, Bay of Fundy and Gulf of Maine","DFO-MAR-HAD4X5Y-1970-2016-ASHBROOK","DFO-MAR","ADAPT","Canada","Canada East Coast","Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Gadidae","Melanogrammus aeglefinus","Haddock"
"HAD5Y","Haddock Gulf of Maine","NEFSC-HAD5Y-1976-2021-SISIMP2024","NEFSC","ASAP","USA","US East Coast","Gulf of Maine","Gadidae","Melanogrammus aeglefinus","Haddock"
"HADFAPL","Haddock Faroe Plateau","NWWG-HADFAPL-1957-2020-ICESIMP2021-2","NWWG","Unknown","multinational","Europe non EU","Faroe Plateau","Gadidae","Melanogrammus aeglefinus","Haddock"
"HADGB","Haddock Georges Bank","NEFSC-HADGB-1930-2021-SISIMP2024","NEFSC","Unknown","USA","US East Coast","Georges Bank","Gadidae","Melanogrammus aeglefinus","Haddock"
