"comm_name","spcode","species","class","order","family","genus","taxa_yn"
"Cowcod","SEBLEV","Sebastes levis","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Quillback rockfish","SEBMAL","Sebastes maliger","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Black rockfish","SEBMEL","Sebastes melanops","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Blackgill rockfish","SEBMEL","Sebastes melanostomus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Vermillion rockfish","SEBMIN","Sebastes miniatus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Whitespotted rockfish","SEBMOS","Sebastes moseri","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Blue rockfish","SEBMYS","Sebastes mystinus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"China rockfish","SEBNEB","Sebastes nebulosus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Speckled rockfish","SEBOVA","Sebastes ovalis","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Boccacio","SEBPAU","Sebastes paucispinis","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Canary rockfish","SEBPIN","Sebastes pinniger","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Redstripe rockfish","SEBPRO","Sebastes proriger","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Grass rockfish","SEBRAS","Sebastes rastrelliger","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Rosy rockfish","SEBROS","Sebastes rosaceus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Greenblotched rockfish","SEBRSN","Sebastes rosenblatti","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Yelloweye rockfish","SEBRUB","Sebastes ruberrimus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Flag rockfish","SEBRUB","Sebastes rubrivinctus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Bank rockfish","SEBRUF","Sebastes rufus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Stripetail rockfish","SEBSAX","Sebastes saxicola","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Halfbanded rockfish","SEBSEM","Sebastes semicinctus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Olive rockfish","SEBSER","Sebastes serranoides","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Tree rockfish","SEBSRI","Sebastes serriceps","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Pinkrose rockfish","SEBSIM","Sebastes simulator","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Honeycomb rockfish","SEBUMB","Sebastes umbrosus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Pygmy rockfish","SEBWIL","Sebastes wilsoni","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Sharpchin rockfish","SEBZAC","Sebastes zacentrus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","yes"
"Shortspine thornyhead","SEBALA","Sebastolobus alascanus","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","yes"
"Longspine thornyhead","SEBALT","Sebastolobus altivelis","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastolobus","yes"
"Snubnose pipefish","BRYARC","Cosmocampus arctus","Actinopterygii","Syngnathiformes","Syngnathidae","Cosmocampus","yes"
"Pacific seahorse","HIPING","Hippocampus ingens","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus","yes"
"Barred pipefish","SYNAUL","Syngnathus auliscus","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus","yes"
"Kelp pipefish","SYNCAL","Syngnathus californiensis","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus","yes"
"Barcheek pipefish","SYNEXI","Syngnathus exilis","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus","yes"
"Bay pipefish","SYNLEP","Syngnathus leptorhynchus","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus","yes"
"Ocean sunfish","MOLMOL","Mola mola","Actinopterygii","Tetraodontiformes","Molidae","Mola","yes"
"Bullseye puffer","SPHANN","Sphoeroides annulatus","Actinopterygii","Tetraodontiformes","Tetraodontidae","Sphoeroides","yes"
"Skinflap puffer","SPHLOB","Sphoeroides lobatus","Actinopterygii","Tetraodontiformes","Tetraodontidae","Sphoeroides","yes"
"Blue shark","PRIGLA","Prionace glauca","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","yes"
"Brown cat shark","APRBRU","Apristurus brunneus","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Apristurus","yes"
"Swell shark","CEPVEN","Cephaloscyllium ventriosum","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","yes"
"Filetail cat shark","PARXAN","Parmaturus xaniurus","Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Parmaturus","yes"
"Scalloped hammerhead","SPHLEW","Sphyrna lewini","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","yes"
"Soupfin shark","GALZYG","Galeorhinus galeus","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","yes"
"Gray smoothhound","MUSCAL","Mustelus californicus","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","yes"
"Brown smoothhound","MUSHEN","Mustelus henlei","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","yes"
"Leopard shark","TRISEM","Triakis semifasciata","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis","yes"
"California hornshark","HETFRA","Heterodontus francisci","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus","yes"
"Bluntnose sixgill shark","HEXGRI","Hexanchus griseus","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus","yes"
"Broadnose sevengill shark","NOTCEP","Notorynchus cepedianus","Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus","yes"
"Bigeye thresher","ALOSUP","Alopias superciliosus","Elasmobranchii","Lamniformes","Alopiidae","Alopias","yes"
"Common thresher shark","ALOVUL","Alopias vulpinus","Elasmobranchii","Lamniformes","Alopiidae","Alopias","yes"
"Basking shark","CETMAX","Cetorhinus maximus","Elasmobranchii","Lamniformes","Cetorhinidae","Cetorhinus","yes"
"White shark","CARCAR","Carcharodon carcharias","Elasmobranchii","Lamniformes","Lamnidae","Carcharodon","yes"
"Shortfin mako","ISUOXY","Isurus oxyrinchus","Elasmobranchii","Lamniformes","Lamnidae","Isurus","yes"
"Salmon shark","LAMDIT","Lamna ditropis","Elasmobranchii","Lamniformes","Lamnidae","Lamna","yes"
"California butterfly ray","GYMMAR","Gymnura marmorata","Elasmobranchii","Myliobatiformes","Gymnuridae","Gymnura","yes"
"Bat ray","MYLCAL","Myliobatis californica","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","yes"
"Spotted stingray","UROMAC","Urolophus maculatus","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus","yes"
"Big skate","RAJBIN","Raja binoculata","Elasmobranchii","Rajiformes","Rajidae","Raja","yes"
"California skate","RAJINO","Raja inornata","Elasmobranchii","Rajiformes","Rajidae","Raja","yes"
"Longnose skate","RAJRHI","Raja rhina","Elasmobranchii","Rajiformes","Rajidae","Raja","yes"
"Thornback","PLATRI","Platyrhinoidis triseriata","Elasmobranchii","Rajiformes","Rhinobatidae","Platyrhinoidis","yes"
"Banded guitarfish","ZAPEXA","Zapteryx exasperata","Elasmobranchii","Rajiformes","Rhinobatidae","Zapteryx","yes"
"Spiny dogfish","SQUSUC","Squalus suckleyi","Elasmobranchii","Squaliformes","Squalidae","Squalus","yes"
"Angel shark","SQUCAL","Squatina californica","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","yes"
"Pacific electric ray","TORCAL","Torpedo californica","Elasmobranchii","Torpediniformes","Torpedinidae","Torpedo","yes"
"Spotted ratfish","HYDCOL","Hydrolagus colliei","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus","yes"
"Black hagfish","EPTDEA","Eptatretus deani","Myxini","Myxiniformes","Myxinidae","Eptatretus","yes"
"Pacifc hagfish","EPTSTO","Eptatretus stoutii","Myxini","Myxiniformes","Myxinidae","Eptatretus","yes"
"California sheephead","BODPUL","Bodianus pulcher",NA,NA,NA,NA,"no"
"Salema","BRACAL","Brachygenys californiensis",NA,NA,NA,NA,"no"
"Zebraperch","KYPAZU","Kyphosus azureus",NA,NA,NA,NA,"no"
"Opah","LAMMEG","Lampris megalopsis",NA,NA,NA,NA,"no"
"Shovelnose guitarfish","PSEPRO","Pseudobatos productus",NA,NA,NA,NA,"no"
"California tonguefish","SYMATR","Symphurus atricauda",NA,NA,NA,NA,"no"
"Round stingray","UROHAL","Urobatis halleri",NA,NA,NA,NA,"no"
